customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_bin,tenure_bin,PaperlessBilling_bin,OnlineSecurity_bin,TechSupport_bin,pred_churn_prob,pred_churn_class
5129-JLPIS,Male,0,0,0,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0,"(24.0, 36.0]",1,1,1,0.43060151338801933,0
3655-SNQYZ,Female,0,1,1,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,"(60.0, 72.0]",0,1,1,0.03155675721552622,0
8191-XWSZG,Female,0,0,0,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0,"(48.0, 60.0]",0,0,0,0.008593749405389746,0
9959-WOFKT,Male,0,0,1,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,"(60.0, 72.0]",0,1,0,0.035865886002618794,0
4190-MFLUW,Female,0,1,1,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,"(-0.001, 12.0]",0,0,1,0.22028876607995082,0
4183-MYFRB,Female,0,0,0,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0,"(12.0, 24.0]",1,0,0,0.6272321099430349,1
8779-QRDMV,Male,1,0,0,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,"(-0.001, 12.0]",1,0,0,0.6510958267621886,1
1680-VDCWW,Male,0,1,0,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0,"(-0.001, 12.0]",0,0,0,0.0691789216540132,0
1066-JKSGK,Male,0,0,0,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,"(-0.001, 12.0]",0,0,0,0.19881337933339718,0
3638-WEABW,Female,0,1,0,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,"(48.0, 60.0]",1,0,1,0.02061960151934065,0
6322-HRPFA,Male,0,1,1,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0,"(48.0, 60.0]",0,1,1,0.03865734756188498,0
6865-JZNKO,Female,0,0,0,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0,"(24.0, 36.0]",1,1,0,0.17176249837635418,0
6467-CHFZW,Male,0,1,1,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,"(36.0, 48.0]",1,0,0,0.45179446916455823,0
8665-UTDHZ,Male,0,1,1,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,"(-0.001, 12.0]",0,0,0,0.4603256539792496,0
5248-YGIJN,Male,0,1,0,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0,"(60.0, 72.0]",1,1,1,0.015894928740364515,0
8773-HHUOZ,Female,0,0,1,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,"(12.0, 24.0]",1,0,0,0.3282959820657806,0
3841-NFECX,Female,1,1,0,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0,"(60.0, 72.0]",1,1,1,0.04385024121596454,0
4929-XIHVW,Male,1,1,0,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0,"(-0.001, 12.0]",1,0,0,0.7091479007676872,1
6827-IEAUQ,Female,0,1,1,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0,"(24.0, 36.0]",0,1,1,0.05008525912159372,0
7310-EGVHZ,Male,0,0,0,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,"(-0.001, 12.0]",0,0,0,0.21113412644223942,0
3413-BMNZE,Male,1,0,0,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0,"(-0.001, 12.0]",0,0,0,0.48300345489660873,0
6234-RAAPL,Female,0,1,1,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0,"(60.0, 72.0]",0,1,1,0.022544666021250926,0
6047-YHPVI,Male,0,0,0,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,"(-0.001, 12.0]",1,0,0,0.7043429119824564,1
6572-ADKRS,Female,0,0,0,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0,"(36.0, 48.0]",1,0,0,0.29888147831430295,0
5380-WJKOV,Male,0,0,0,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,"(24.0, 36.0]",1,0,0,0.5834383354250615,1
8168-UQWWF,Female,0,0,0,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,"(-0.001, 12.0]",1,0,0,0.6282258240789614,1
8865-TNMNX,Male,0,1,1,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0,"(-0.001, 12.0]",0,0,0,0.16472744792556512,0
9489-DEDVP,Female,0,1,1,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0,"(60.0, 72.0]",1,1,0,0.01326758335187238,0
9867-JCZSP,Female,0,1,1,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0,"(12.0, 24.0]",0,0,0,0.04586389718896088,0
4671-VJLCL,Female,0,0,0,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0,"(60.0, 72.0]",1,1,1,0.016019752056306003,0
4080-IIARD,Female,0,1,0,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,0,"(12.0, 24.0]",1,1,1,0.3229459395376023,0
3714-NTNFO,Female,0,0,0,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,0,"(48.0, 60.0]",1,0,0,0.38844513592129537,0
5948-UJZLF,Male,0,0,0,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0,"(-0.001, 12.0]",0,0,0,0.39588613169862963,0
7760-OYPDY,Female,0,0,0,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,"(-0.001, 12.0]",1,0,0,0.7385342614340217,1
7639-LIAYI,Male,0,0,0,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0,"(48.0, 60.0]",1,1,1,0.023824062606801498,0
2954-PIBKO,Female,0,1,1,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,0,"(60.0, 72.0]",1,1,1,0.007634241116696045,0
8012-SOUDQ,Female,1,0,0,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0,"(36.0, 48.0]",1,0,0,0.5343268597416615,1
9420-LOJKX,Female,0,0,0,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,"(12.0, 24.0]",1,1,0,0.465674771845883,0
6575-SUVOI,Female,1,1,0,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,0,"(24.0, 36.0]",1,1,1,0.19988851852680758,0
7495-OOKFY,Female,1,1,0,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,"(-0.001, 12.0]",1,0,0,0.6638419198042009,1
4667-QONEA,Female,1,1,1,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,0,"(48.0, 60.0]",1,1,1,0.03483450032728703,0
1658-BYGOY,Male,1,0,0,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,"(12.0, 24.0]",1,0,0,0.7097118864907633,1
8769-KKTPH,Female,0,1,1,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,0,"(60.0, 72.0]",1,1,0,0.10920967071276833,0
5067-XJQFU,Male,1,1,1,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0,"(60.0, 72.0]",1,0,1,0.21677531859112886,0
3957-SQXML,Female,0,1,1,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0,"(24.0, 36.0]",0,0,0,0.010110093489480885,0
5954-BDFSG,Female,0,0,0,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0,"(60.0, 72.0]",1,0,1,0.07232141451618057,0
0434-CSFON,Female,0,1,0,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0,"(36.0, 48.0]",1,0,0,0.4966534378649569,0
1215-FIGMP,Male,0,0,0,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,0,"(48.0, 60.0]",1,0,0,0.28031512985769585,0
0526-SXDJP,Male,0,1,0,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,0,"(60.0, 72.0]",0,1,0,0.004550539898412097,0
0557-ASKVU,Female,0,1,1,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,0,"(12.0, 24.0]",1,0,1,0.13415643862980778,0
5698-BQJOH,Female,0,0,0,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,"(-0.001, 12.0]",0,0,0,0.6317886299245309,1
5122-CYFXA,Female,0,0,0,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0,"(-0.001, 12.0]",1,0,1,0.51024653203227,1
8627-ZYGSZ,Male,0,1,0,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,0,"(36.0, 48.0]",1,0,0,0.25374262553004917,0
3410-YOQBQ,Female,0,0,0,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,0,"(24.0, 36.0]",0,0,1,0.04574589536867398,0
3170-NMYVV,Female,0,1,1,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,0,"(48.0, 60.0]",0,0,0,0.004290962328689969,0
7410-OIEDU,Male,0,0,0,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0,"(-0.001, 12.0]",1,1,0,0.47739257458066187,0
2273-QCKXA,Male,0,0,0,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0,"(-0.001, 12.0]",0,0,1,0.31497001087186116,0
0731-EBJQB,Female,0,1,1,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0,"(48.0, 60.0]",1,0,0,0.017640514108859338,0
1891-QRQSA,Male,1,1,1,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,0,"(60.0, 72.0]",1,1,1,0.06730156228146322,0
8028-PNXHQ,Male,0,1,1,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,"(60.0, 72.0]",1,0,0,0.003929433653474652,0
5630-AHZIL,Female,0,0,1,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0,"(-0.001, 12.0]",1,1,1,0.27356410450105334,0
2673-CXQEU,Female,1,0,0,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,0,"(48.0, 60.0]",0,1,0,0.21032722255657865,0
6416-JNVRK,Female,0,0,0,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,0,"(36.0, 48.0]",0,0,0,0.056428699360126955,0
5590-ZSKRV,Female,0,1,1,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0,"(-0.001, 12.0]",0,1,0,0.22860473093736208,0
0191-ZHSKZ,Male,1,0,0,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0,"(24.0, 36.0]",1,1,0,0.31848074165996265,0
3887-PBQAO,Female,0,1,1,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,0,"(36.0, 48.0]",1,0,0,0.018343559079030097,0
5919-TMRGD,Female,0,0,1,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,"(-0.001, 12.0]",1,0,0,0.7123888918215828,1
8108-UXRQN,Female,0,1,1,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0,"(-0.001, 12.0]",0,1,0,0.27862276355128385,0
9191-MYQKX,Female,0,1,0,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,"(-0.001, 12.0]",1,0,0,0.6260153960929601,1
9919-YLNNG,Female,0,0,0,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,0,"(36.0, 48.0]",1,0,1,0.3549544469255713,0
0318-ZOPWS,Female,0,1,0,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0,"(48.0, 60.0]",1,0,0,0.00867565400929838,0
4445-ZJNMU,Male,0,0,0,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0,"(-0.001, 12.0]",1,0,0,0.616678032522023,1
4808-YNLEU,Female,0,1,0,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,0,"(24.0, 36.0]",1,1,0,0.09644319882810409,0
1862-QRWPE,Female,0,1,1,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0,"(36.0, 48.0]",0,0,0,0.0050395021592009774,0
2796-NNUFI,Female,0,1,1,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,0,"(36.0, 48.0]",1,0,0,0.008016510978067376,0
3016-KSVCP,Male,0,1,0,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,0,"(24.0, 36.0]",0,0,0,0.15022711651379264,0
4767-HZZHQ,Male,0,1,1,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,0,"(24.0, 36.0]",0,0,0,0.33722589324389357,0
2424-WVHPL,Male,1,0,0,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,0,"(-0.001, 12.0]",0,0,1,0.6284225330742528,1
7233-PAHHL,Male,0,1,1,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,0,"(60.0, 72.0]",1,1,1,0.015236631251348479,0
6067-NGCEU,Female,0,0,0,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,0,"(60.0, 72.0]",1,1,0,0.24274655866027775,0
9848-JQJTX,Male,0,0,0,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,0,"(60.0, 72.0]",1,0,0,0.09545023598643865,0
8637-XJIVR,Female,0,0,0,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,"(-0.001, 12.0]",1,1,0,0.5628200593502976,1
9803-FTJCG,Male,0,1,1,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,0,"(60.0, 72.0]",1,1,1,0.01529405593838748,0
0278-YXOOG,Male,0,0,0,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,"(-0.001, 12.0]",0,0,0,0.16848141259625446,0
3212-KXOCR,Male,0,0,0,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,0,"(48.0, 60.0]",0,0,0,0.004595490362350452,0
4598-XLKNJ,Female,1,1,0,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,"(24.0, 36.0]",1,0,0,0.68682591444018,1
6380-ARCEH,Male,0,0,0,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,0,"(-0.001, 12.0]",0,0,0,0.19883486833873112,0
3679-XASPY,Female,0,1,1,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,0,"(-0.001, 12.0]",0,0,0,0.2501558238455123,0
7123-WQUHX,Male,0,0,0,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,0,"(36.0, 48.0]",0,0,1,0.1522762985034282,0
5386-THSLQ,Female,1,1,0,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,0,"(60.0, 72.0]",0,0,0,0.02750554565878665,0
3192-NQECA,Male,0,1,0,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,1,"(60.0, 72.0]",1,0,1,0.08935747659176597,0
6180-YBIQI,Male,0,0,0,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,0,"(-0.001, 12.0]",0,0,0,0.3412483564583451,0
6728-DKUCO,Female,0,1,1,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,0,"(60.0, 72.0]",1,1,0,0.13555378155634057,0
9750-BOOHV,Female,0,0,0,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,0,"(24.0, 36.0]",0,1,0,0.0432791987067344,0
8597-CWYHH,Male,0,0,0,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,0,"(36.0, 48.0]",0,0,0,0.1700876801180006,0
2848-YXSMW,Male,0,1,1,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,No,0,"(60.0, 72.0]",0,0,0,0.0012160803466516896,0
0486-HECZI,Male,0,1,0,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,1,"(48.0, 60.0]",1,1,0,0.310782183407087,0
4549-ZDQYY,Female,0,0,0,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,No,0,"(48.0, 60.0]",0,1,1,0.01986794027756126,0
5712-AHQNN,Female,0,0,0,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,No,0,"(36.0, 48.0]",1,0,0,0.4831825957513033,0
4846-WHAFZ,Female,1,1,0,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,1,"(36.0, 48.0]",1,0,0,0.5358900615422437,1
5256-SKJGO,Female,0,1,1,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,No,0,"(60.0, 72.0]",1,0,1,0.018150957366018676,0
3071-VBYPO,Male,0,1,1,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,No,0,"(-0.001, 12.0]",0,1,0,0.5109922401424892,1
9560-BBZXK,Female,0,0,0,36,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,No,0,"(24.0, 36.0]",0,1,0,0.019910558000399214,0
5299-RULOA,Female,0,1,1,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1,"(-0.001, 12.0]",1,1,0,0.5782996391872971,1
8402-OOOHJ,Female,0,0,0,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,835.15,No,0,"(36.0, 48.0]",0,0,0,0.007613200662960035,0
9445-ZUEQE,Male,0,1,1,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No,0,"(24.0, 36.0]",1,0,1,0.32055583736999815,0
1091-SOZGA,Female,0,1,1,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,No,0,"(48.0, 60.0]",1,0,0,0.182741876085386,0
2928-HLDBA,Female,0,0,0,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,112.75,No,0,"(-0.001, 12.0]",0,0,0,0.16370559738816048,0
0404-SWRVG,Male,0,0,0,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,1,"(-0.001, 12.0]",1,0,0,0.7246387689126809,1
